n_generation,n_variation,n_format,structure,text_task,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,node_font,node_color,edge_width,task_id,attempt,num_nodes
2,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," [44, 51, 17, 45, 63, 20]","'44, 51, 17, 45, 63, 20'","[44, 51, 17, 45, 63, 20]",True,sans-serif,#fee4b3,1.0,4199c8d9-46e2-4e3c-aa47-7b394a3303d3,3,6
2,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," `[20, 17, 44, 51, 63, 45]`","'20, 17, 44, 51, 63, 45'","[20, 17, 44, 51, 63, 45]",True,sans-serif,#fee4b3,1.0,9f2e1c35-26bc-4810-b8c8-7ab5e0288c6e,1,6
2,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," `[20, 17, 44, 51, 63, 45]`","'20, 17, 44, 51, 63, 45'","[20, 17, 44, 51, 63, 45]",True,sans-serif,#fee4b3,1.0,9f2e1c35-26bc-4810-b8c8-7ab5e0288c6e,2,6
2,1,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," `[20, 17, 44, 51, 63, 45]`","'20, 17, 44, 51, 63, 45'","[20, 17, 44, 51, 63, 45]",True,sans-serif,#fee4b3,1.0,9f2e1c35-26bc-4810-b8c8-7ab5e0288c6e,3,6
2,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," `[44, 17, 51, 20, 63, 45]`","'44, 17, 51, 20, 63, 45'","[44, 17, 51, 20, 45, 63]",False,sans-serif,#fee4b3,1.0,e7f1a6f7-4611-4f3f-8421-dd309a53b44c,1,6
2,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," `[44, 17, 51, 20, 63, 45]`","'44, 17, 51, 20, 63, 45'","[44, 17, 51, 20, 45, 63]",False,sans-serif,#fee4b3,1.0,e7f1a6f7-4611-4f3f-8421-dd309a53b44c,2,6
2,1,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-4_gen-2_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-810f337b-1a1a-4ca9-a37b-0ca8bb740764.png," `[44, 17, 51, 20, 63, 45]`","'44, 17, 51, 20, 63, 45'","[44, 17, 51, 20, 45, 63]",False,sans-serif,#fee4b3,1.0,e7f1a6f7-4611-4f3f-8421-dd309a53b44c,3,6
2,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [62, 22, 44, 23, 89, 12]","'62, 22, 44, 23, 89, 12'","[62, 22, 44, 23, 89, 12]",True,sans-serif,#fee4b3,1.0,657cefd0-c976-43d4-8aa0-b1f02939653b,1,6
2,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," `[62, 22, 44, 23, 89, 12]`","'62, 22, 44, 23, 89, 12'","[62, 22, 44, 23, 89, 12]",True,sans-serif,#fee4b3,1.0,657cefd0-c976-43d4-8aa0-b1f02939653b,2,6
2,2,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [62, 22, 44, 23, 89, 12]","'62, 22, 44, 23, 89, 12'","[62, 22, 44, 23, 89, 12]",True,sans-serif,#fee4b3,1.0,657cefd0-c976-43d4-8aa0-b1f02939653b,3,6
2,2,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [12, 44, 62, 22, 89, 23]","'12, 44, 62, 22, 89, 23'","[12, 44, 62, 22, 89, 23]",True,sans-serif,#fee4b3,1.0,b46d203b-edba-4213-be33-d51787dd9866,1,6
2,2,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [12, 44, 62, 22, 89, 23]","'12, 44, 62, 22, 89, 23'","[12, 44, 62, 22, 89, 23]",True,sans-serif,#fee4b3,1.0,b46d203b-edba-4213-be33-d51787dd9866,2,6
2,2,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [12, 44, 62, 22, 89, 23]","'12, 44, 62, 22, 89, 23'","[12, 44, 62, 22, 89, 23]",True,sans-serif,#fee4b3,1.0,b46d203b-edba-4213-be33-d51787dd9866,3,6
2,2,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [62, 44, 22, 12, 89, 23]","'62, 44, 22, 12, 89, 23'","[62, 44, 22, 12, 23, 89]",False,sans-serif,#fee4b3,1.0,a3be13b0-54dd-4ed7-93fb-ac9ad4c0245c,1,6
2,2,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [62, 44, 22, 12, 89, 23]","'62, 44, 22, 12, 89, 23'","[62, 44, 22, 12, 23, 89]",False,sans-serif,#fee4b3,1.0,a3be13b0-54dd-4ed7-93fb-ac9ad4c0245c,2,6
2,2,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-5_gen-2_var-2_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-c062dd00-d6de-4f9f-beea-6e80719fdce1.png," [62, 44, 22, 12, 89, 23]","'62, 44, 22, 12, 89, 23'","[62, 44, 22, 12, 23, 89]",False,sans-serif,#fee4b3,1.0,a3be13b0-54dd-4ed7-93fb-ac9ad4c0245c,3,6
2,3,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [89, 23, 56, 44, 82, 10]","'89, 23, 56, 44, 82, 10'","[89, 23, 56, 44, 82, 10]",True,sans-serif,#fee4b3,1.0,d5d42377-3727-44c4-a0ff-d696a4244041,1,6
2,3,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [89, 23, 56, 44, 82, 10]","'89, 23, 56, 44, 82, 10'","[89, 23, 56, 44, 82, 10]",True,sans-serif,#fee4b3,1.0,d5d42377-3727-44c4-a0ff-d696a4244041,2,6
2,3,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [89, 23, 56, 44, 82, 10]","'89, 23, 56, 44, 82, 10'","[89, 23, 56, 44, 82, 10]",True,sans-serif,#fee4b3,1.0,d5d42377-3727-44c4-a0ff-d696a4244041,3,6
2,3,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [10, 56, 89, 23, 82, 44]","'10, 56, 89, 23, 82, 44'","[10, 56, 89, 23, 82, 44]",True,sans-serif,#fee4b3,1.0,c0c504b0-86fd-4b71-9c47-202c4ae61b61,1,6
2,3,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [10, 56, 89, 23, 82, 44]","'10, 56, 89, 23, 82, 44'","[10, 56, 89, 23, 82, 44]",True,sans-serif,#fee4b3,1.0,c0c504b0-86fd-4b71-9c47-202c4ae61b61,2,6
2,3,1,binary_tree,Provide a single-line python list representing the pre-order traversal of the binary tree.,'Provide a single-line python list representing the pre-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [10, 56, 89, 23, 82, 44]","'10, 56, 89, 23, 82, 44'","[10, 56, 89, 23, 82, 44]",True,sans-serif,#fee4b3,1.0,c0c504b0-86fd-4b71-9c47-202c4ae61b61,3,6
2,3,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [89, 56, 23, 10, 44, 82]","'89, 56, 23, 10, 44, 82'","[89, 56, 23, 10, 44, 82]",True,sans-serif,#fee4b3,1.0,b670efe7-98a4-42c3-8aa3-baa8e2eb47da,1,6
2,3,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," `[89, 56, 23, 10, 44, 82]`","'89, 56, 23, 10, 44, 82'","[89, 56, 23, 10, 44, 82]",True,sans-serif,#fee4b3,1.0,b670efe7-98a4-42c3-8aa3-baa8e2eb47da,2,6
2,3,1,binary_tree,Provide a single-line python list representing the in-order traversal of the binary tree.,'Provide a single-line python list representing the in-order traversal of the binary tree.',images/binary_tree/bit_run-6_gen-2_var-3_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-e72a5b00-b578-48b0-aa3b-79bd34931818.png," [89, 56, 23, 10, 44, 82]","'89, 56, 23, 10, 44, 82'","[89, 56, 23, 10, 44, 82]",True,sans-serif,#fee4b3,1.0,b670efe7-98a4-42c3-8aa3-baa8e2eb47da,3,6
3,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-6b2971ab-7e9b-474d-9937-4fc71fe4b7b8.png," [69, 71, 4, 26, 79, 1, 27, 77, 91]","'69, 71, 4, 26, 79, 1, 27, 77, 91'","[69, 71, 4, 26, 79, 1, 27, 77, 91]",True,sans-serif,#fee4b3,1.0,3efe925d-1b3c-4a88-83b2-164993b2fb21,1,9
3,1,1,binary_tree,Provide a single-line python list representing the post-order traversal of the binary tree.,'Provide a single-line python list representing the post-order traversal of the binary tree.',images/binary_tree/bit_run-7_gen-3_var-1_fmt-1_thk-10_clr-88d7fe_fnt-sansserif_idn-6b2971ab-7e9b-474d-9937-4fc71fe4b7b8.png," [69, 71, 4, 26, 79, 1, 27, 77, 91]","'69, 71, 4, 26, 79, 1, 27, 77, 91'","[69, 71, 4, 26, 79, 1, 27, 77, 91]",True,sans-serif,#fee4b3,1.0,3efe925d-1b3c-4a88-83b2-164993b2fb21,2,9
