run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,resolution,task_id,image_id
17,1,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," ```pythongraph = {1: [2], 2: [3], 3: []}```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,-|>,3,512,5b02f435-8e37-441b-898e-e88fc7b19e37,bcb98f19-13aa-4c0b-9acd-023bbf493869
18,1,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," ```pythongraph = {1: [2], 2: [3], 3: []}```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,-|>,3,512,5b02f435-8e37-441b-898e-e88fc7b19e37,bcb98f19-13aa-4c0b-9acd-023bbf493869
19,2,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 2, 1]","[3, 4, 2, 1]","[1, 2, 4, 3]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,ec2596a3-6c0d-4aba-a766-c4028e150193,b3b9d349-3e1a-4dc4-8420-cf56844f8317
20,2,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 2, 1]","[3, 4, 2, 1]","[1, 2, 4, 3]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,ec2596a3-6c0d-4aba-a766-c4028e150193,b3b9d349-3e1a-4dc4-8420-cf56844f8317
21,2,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,f2e514ae-27db-4a6d-9e8f-52f9086d11b4,b3b9d349-3e1a-4dc4-8420-cf56844f8317
22,2,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 2, 1]","[3, 4, 2, 1]","[1, 2, 4, 3]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,ec2596a3-6c0d-4aba-a766-c4028e150193,b3b9d349-3e1a-4dc4-8420-cf56844f8317
23,2,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,f2e514ae-27db-4a6d-9e8f-52f9086d11b4,b3b9d349-3e1a-4dc4-8420-cf56844f8317
24,2,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,f2e514ae-27db-4a6d-9e8f-52f9086d11b4,b3b9d349-3e1a-4dc4-8420-cf56844f8317
25,2,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,->,4,512,60937ec9-ba47-4fbe-9d8b-5c1daf64b246,b3b9d349-3e1a-4dc4-8420-cf56844f8317
26,2,1,1,2,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,->,4,512,60937ec9-ba47-4fbe-9d8b-5c1daf64b246,b3b9d349-3e1a-4dc4-8420-cf56844f8317
27,2,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,->,4,512,60937ec9-ba47-4fbe-9d8b-5c1daf64b246,b3b9d349-3e1a-4dc4-8420-cf56844f8317
28,2,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [2, 3, 4, 1]","[2, 3, 4, 1]","[1, 2, 4, 3]",False,25.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6280ac9f-1e2b-4fda-b7e5-b050c6425898,fd81fdad-acb3-4b02-9f4d-b535435bc882
29,2,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [2, 3, 4, 1]","[2, 3, 4, 1]","[1, 2, 4, 3]",False,25.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6280ac9f-1e2b-4fda-b7e5-b050c6425898,fd81fdad-acb3-4b02-9f4d-b535435bc882
30,2,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [3, 2, 4, 1]","[3, 2, 4, 1]","[1, 2, 4, 3]",False,50.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6280ac9f-1e2b-4fda-b7e5-b050c6425898,fd81fdad-acb3-4b02-9f4d-b535435bc882
31,2,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6e7b18a9-57ac-4c08-b2f0-bd8fdb2ca02e,fd81fdad-acb3-4b02-9f4d-b535435bc882
32,2,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6e7b18a9-57ac-4c08-b2f0-bd8fdb2ca02e,fd81fdad-acb3-4b02-9f4d-b535435bc882
33,2,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [2, 1, 4, 3]","[2, 1, 4, 3]","[1, 2, 3, 4]",False,25.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6e7b18a9-57ac-4c08-b2f0-bd8fdb2ca02e,fd81fdad-acb3-4b02-9f4d-b535435bc882
34,2,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,-|>,4,512,a08aa193-2246-41d6-b12e-22f610636d86,fd81fdad-acb3-4b02-9f4d-b535435bc882
35,2,1,1,2,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,-|>,4,512,a08aa193-2246-41d6-b12e-22f610636d86,fd81fdad-acb3-4b02-9f4d-b535435bc882
36,2,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,-|>,4,512,a08aa193-2246-41d6-b12e-22f610636d86,fd81fdad-acb3-4b02-9f4d-b535435bc882
37,3,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," [2, 3, 1, 5, 4]","[2, 3, 1, 5, 4]","[1, 2, 3, 5, 4]",False,60.0,sans-serif,#fee4b3,o,1.0,->,5,512,27611e58-6cb5-43a4-a46d-573e187e069d,476749cf-591d-4fa4-ba17-af12b1163a8b
38,3,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," [2, 3, 1, 4, 5]","[2, 3, 1, 4, 5]","[1, 2, 3, 5, 4]",False,40.0,sans-serif,#fee4b3,o,1.0,->,5,512,27611e58-6cb5-43a4-a46d-573e187e069d,476749cf-591d-4fa4-ba17-af12b1163a8b
39,3,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," [2, 3, 1, 5, 4]","[2, 3, 1, 5, 4]","[1, 2, 3, 5, 4]",False,60.0,sans-serif,#fee4b3,o,1.0,->,5,512,27611e58-6cb5-43a4-a46d-573e187e069d,476749cf-591d-4fa4-ba17-af12b1163a8b
40,3,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," [2, 3, 4, 5, 1]","[2, 3, 4, 5, 1]","[1, 2, 3, 4, 5]",False,60.0,sans-serif,#fee4b3,o,1.0,->,5,512,8c694525-3788-4b99-812b-664dbc08d3ae,476749cf-591d-4fa4-ba17-af12b1163a8b
41,3,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," [2, 3, 4, 5, 1]","[2, 3, 4, 5, 1]","[1, 2, 3, 4, 5]",False,60.0,sans-serif,#fee4b3,o,1.0,->,5,512,8c694525-3788-4b99-812b-664dbc08d3ae,476749cf-591d-4fa4-ba17-af12b1163a8b
42,3,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," [2, 3, 4, 5, 1]","[2, 3, 4, 5, 1]","[1, 2, 3, 4, 5]",False,60.0,sans-serif,#fee4b3,o,1.0,->,5,512,8c694525-3788-4b99-812b-664dbc08d3ae,476749cf-591d-4fa4-ba17-af12b1163a8b
43,3,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," ```pythongraph = {1: [2], 2: [1, 3, 5], 3: [4], 4: [5], 5: []}```","{1: [2], 2: [1, 3, 5], 3: [4], 4: [5], 5: []}","{1: [2], 2: [3, 5, 1], 3: [4], 4: [5], 5: [4]}",False,80.0,sans-serif,#fee4b3,o,1.0,->,5,512,a2b02d5a-2d1c-43e3-b001-74c3a9d6f6ea,476749cf-591d-4fa4-ba17-af12b1163a8b
44,3,1,1,2,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," ```pythongraph = {1: [2], 2: [1, 3, 5], 3: [4], 4: [5], 5: []}```","{1: [2], 2: [1, 3, 5], 3: [4], 4: [5], 5: []}","{1: [2], 2: [3, 5, 1], 3: [4], 4: [5], 5: [4]}",False,80.0,sans-serif,#fee4b3,o,1.0,->,5,512,a2b02d5a-2d1c-43e3-b001-74c3a9d6f6ea,476749cf-591d-4fa4-ba17-af12b1163a8b
45,3,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_476749cf-591d-4fa4-ba17-af12b1163a8b.png," ```pythongraph = {1: [2], 2: [3, 5], 3: [4], 4: [5]}```","{1: [2], 2: [3, 5], 3: [4], 4: [5]}","{1: [2], 2: [3, 5, 1], 3: [4], 4: [5], 5: [4]}",False,73.33333333333333,sans-serif,#fee4b3,o,1.0,->,5,512,a2b02d5a-2d1c-43e3-b001-74c3a9d6f6ea,476749cf-591d-4fa4-ba17-af12b1163a8b
46,3,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_3-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_46ebd7e3-786c-4aed-b244-c8fd2901e6bd.png," [2, 3, 1, 5, 4]","[2, 3, 1, 5, 4]","[1, 2, 3, 5, 4]",False,60.0,sans-serif,#fee4b3,o,1.0,-|>,5,512,da122d8a-9fac-426b-b3ee-299e5dd4b994,46ebd7e3-786c-4aed-b244-c8fd2901e6bd
